scale,unknowns,m,n,total_cores,threads,median_runtime_seconds,mean_runtime_seconds,min_runtime_seconds,max_runtime_seconds,repeat_count
large,20250000,4500,4500,8,1,4289.0,4289.0,4288.0,4290.0,2
large,20250000,4500,4500,8,2,3876.0,3876.0,3550.0,4202.0,2
large,20250000,4500,4500,8,4,4474.5,4474.5,4324.0,4625.0,2
large,20250000,4500,4500,8,8,7149.0,7149.0,7144.0,7154.0,2
large,20250000,4500,4500,16,1,3767.5,3767.5,3767.0,3768.0,2
large,20250000,4500,4500,16,2,3624.0,3624.0,3623.0,3625.0,2
large,20250000,4500,4500,16,4,2313.0,2313.0,2307.0,2319.0,2
large,20250000,4500,4500,16,8,4390.0,4390.0,4384.0,4396.0,2
large,20250000,4500,4500,32,1,1868.5,1868.5,1868.0,1869.0,2
large,20250000,4500,4500,32,2,1826.5,1826.5,1826.0,1827.0,2
large,20250000,4500,4500,32,4,1793.5,1793.5,1793.0,1794.0,2
large,20250000,4500,4500,32,8,2214.5,2214.5,2209.0,2220.0,2
large,20250000,4500,4500,64,1,826.2,826.2,825.7,826.7,2
large,20250000,4500,4500,64,2,830.5,830.5,829.9,831.1,2
large,20250000,4500,4500,64,4,847.05,847.05,846.0,848.1,2
large,20250000,4500,4500,64,8,1116.0,1116.0,1115.0,1117.0,2
large,20250000,4500,4500,128,1,340.45000000000005,340.45000000000005,340.1,340.8,2
large,20250000,4500,4500,128,2,341.85,341.85,341.6,342.1,2
large,20250000,4500,4500,128,4,376.3,376.3,376.0,376.6,2
large,20250000,4500,4500,128,8,547.1,547.1,547.0,547.2,2
very-large,40960000,6400,6400,1,1,15415.0,15415.0,15410.0,15420.0,2
very-large,40960000,6400,6400,2,1,9139.0,9139.0,9131.0,9147.0,2
very-large,40960000,6400,6400,2,2,14170.0,14170.0,14150.0,14190.0,2
very-large,40960000,6400,6400,4,1,8464.0,8464.0,8464.0,8464.0,1
very-large,40960000,6400,6400,4,2,9245.5,9245.5,9219.0,9272.0,2
very-large,40960000,6400,6400,4,4,14265.0,14265.0,14250.0,14280.0,2
very-large,40960000,6400,6400,8,1,8702.0,8702.0,8702.0,8702.0,1
very-large,40960000,6400,6400,8,2,8503.0,8503.0,8503.0,8503.0,1
very-large,40960000,6400,6400,8,4,9360.0,9360.0,9344.0,9376.0,2
very-large,40960000,6400,6400,8,8,14125.0,14125.0,13840.0,14410.0,2
very-large,40960000,6400,6400,16,1,7558.0,7558.0,7558.0,7558.0,1
very-large,40960000,6400,6400,16,2,7375.0,7375.0,7375.0,7375.0,1
very-large,40960000,6400,6400,16,4,7311.0,7311.0,7311.0,7311.0,1
very-large,40960000,6400,6400,16,8,8845.0,8845.0,8845.0,8845.0,1
very-large,40960000,6400,6400,32,1,3825.0,3825.0,3825.0,3825.0,1
very-large,40960000,6400,6400,32,2,3685.0,3685.0,3685.0,3685.0,1
very-large,40960000,6400,6400,32,4,3651.0,3651.0,3651.0,3651.0,1
very-large,40960000,6400,6400,32,8,4484.0,4484.0,4484.0,4484.0,1
very-large,40960000,6400,6400,64,1,1905.0,1905.0,1905.0,1905.0,1
very-large,40960000,6400,6400,64,2,1859.0,1859.0,1859.0,1859.0,1
very-large,40960000,6400,6400,64,4,1826.0,1826.0,1826.0,1826.0,1
very-large,40960000,6400,6400,64,8,2271.0,2271.0,2271.0,2271.0,1
very-large,40960000,6400,6400,128,1,846.9,846.9,846.9,846.9,1
very-large,40960000,6400,6400,128,2,850.8,850.8,850.8,850.8,1
very-large,40960000,6400,6400,128,4,866.4,866.4,866.4,866.4,1
very-large,40960000,6400,6400,128,8,1140.0,1140.0,1140.0,1140.0,1
