timestamp,jobid,nodelist,nodes,scale,m,n,unknowns,ranks,threads,total_cores,rep,time_sec,iterations,error_norm,logfile
2026-06-09T15:20:09+01:00,13996330,nid001263,1,small,1000,1000,1000000,8,2,16,1,4.321e+01,4085,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r8_t2_p16_m1000_n1000_job13996330_rep1.log
2026-06-09T15:20:33+01:00,13996330,nid001263,1,small,1000,1000,1000000,8,4,32,1,2.302e+01,4085,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r8_t4_p32_m1000_n1000_job13996330_rep1.log
2026-06-09T15:20:51+01:00,13996330,nid001263,1,small,1000,1000,1000000,8,8,64,1,1.615e+01,4085,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r8_t8_p64_m1000_n1000_job13996330_rep1.log
2026-06-09T15:21:07+01:00,13996330,nid001263,1,small,1000,1000,1000000,8,16,128,1,1.499e+01,4085,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r8_t16_p128_m1000_n1000_job13996330_rep1.log
2026-06-09T15:22:32+01:00,13996330,nid001263,1,small,1000,1000,1000000,16,1,16,1,8.525e+01,8179,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r16_t1_p16_m1000_n1000_job13996330_rep1.log
2026-06-09T15:23:12+01:00,13996330,nid001263,1,small,1000,1000,1000000,16,2,32,1,3.859e+01,8179,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r16_t2_p32_m1000_n1000_job13996330_rep1.log
2026-06-09T15:23:31+01:00,13996330,nid001263,1,small,1000,1000,1000000,16,4,64,1,1.692e+01,8179,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r16_t4_p64_m1000_n1000_job13996330_rep1.log
2026-06-09T15:23:47+01:00,13996330,nid001263,1,small,1000,1000,1000000,16,8,128,1,1.544e+01,8179,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r16_t8_p128_m1000_n1000_job13996330_rep1.log
2026-06-09T15:24:19+01:00,13996330,nid001263,1,small,1000,1000,1000000,32,1,32,1,2.980e+01,6460,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r32_t1_p32_m1000_n1000_job13996330_rep1.log
2026-06-09T15:24:31+01:00,13996330,nid001263,1,small,1000,1000,1000000,32,2,64,1,9.208e+00,6460,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r32_t2_p64_m1000_n1000_job13996330_rep1.log
2026-06-09T15:24:38+01:00,13996330,nid001263,1,small,1000,1000,1000000,32,4,128,1,6.394e+00,6460,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r32_t4_p128_m1000_n1000_job13996330_rep1.log
2026-06-09T15:24:49+01:00,13996330,nid001263,1,small,1000,1000,1000000,64,1,64,1,8.107e+00,7181,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r64_t1_p64_m1000_n1000_job13996330_rep1.log
2026-06-09T15:24:57+01:00,13996330,nid001263,1,small,1000,1000,1000000,64,2,128,1,4.369e+00,7181,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r64_t2_p128_m1000_n1000_job13996330_rep1.log
2026-06-09T15:25:03+01:00,13996330,nid001263,1,small,1000,1000,1000000,128,1,128,1,3.866e+00,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r128_t1_p128_m1000_n1000_job13996330_rep1.log
