timestamp,jobid,nodelist,nodes,scale,m,n,unknowns,ranks,threads,total_cores,rep,time_sec,iterations,error_norm,logfile
2026-06-10T20:04:24+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,1,1,1,1,1.541e+04,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r1_t1_p1_m6400_n6400_job14009694_rep1.log
2026-06-11T00:00:14+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,1,2,2,1,1.415e+04,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r1_t2_p2_m6400_n6400_job14009694_rep1.log
2026-06-11T03:57:42+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,1,4,4,1,1.425e+04,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r1_t4_p4_m6400_n6400_job14009694_rep1.log
2026-06-11T07:48:24+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,1,8,8,1,1.384e+04,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r1_t8_p8_m6400_n6400_job14009694_rep1.log
2026-06-11T10:20:37+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,2,1,2,1,9.131e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r2_t1_p2_m6400_n6400_job14009694_rep1.log
2026-06-11T12:54:19+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,2,2,4,1,9.219e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r2_t2_p4_m6400_n6400_job14009694_rep1.log
2026-06-11T15:30:04+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,2,4,8,1,9.344e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r2_t4_p8_m6400_n6400_job14009694_rep1.log
2026-06-11T17:57:29+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,2,8,16,1,8.845e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r2_t8_p16_m6400_n6400_job14009694_rep1.log
2026-06-11T20:18:35+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,4,1,4,1,8.464e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r4_t1_p4_m6400_n6400_job14009694_rep1.log
2026-06-11T22:40:20+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,4,2,8,1,8.503e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r4_t2_p8_m6400_n6400_job14009694_rep1.log
2026-06-12T00:42:13+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,4,4,16,1,7.311e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r4_t4_p16_m6400_n6400_job14009694_rep1.log
2026-06-12T01:56:57+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,4,8,32,1,4.484e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r4_t8_p32_m6400_n6400_job14009694_rep1.log
2026-06-12T04:22:00+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,8,1,8,1,8.702e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r8_t1_p8_m6400_n6400_job14009694_rep1.log
2026-06-12T06:24:55+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,8,2,16,1,7.375e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r8_t2_p16_m6400_n6400_job14009694_rep1.log
2026-06-12T07:25:46+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,8,4,32,1,3.651e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r8_t4_p32_m6400_n6400_job14009694_rep1.log
2026-06-12T08:03:38+01:00,14009694,nid004810,1,very-large,6400,6400,40960000,8,8,64,1,2.271e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/very-large/ex2_arch-omp-opt_very-large_r8_t8_p64_m6400_n6400_job14009694_rep1.log
