timestamp,jobid,nodelist,nodes,scale,m,n,unknowns,ranks,threads,total_cores,rep,time_sec,iterations,error_norm,logfile
2026-06-09T15:28:24+01:00,13997004,nid003574,1,small,1000,1000,1000000,1,1,1,1,2.480e+02,6700,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r1_t1_p1_m1000_n1000_job13997004_rep1.log
2026-06-09T15:32:14+01:00,13997004,nid003574,1,small,1000,1000,1000000,1,2,2,1,2.296e+02,6700,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r1_t2_p2_m1000_n1000_job13997004_rep1.log
2026-06-09T15:36:01+01:00,13997004,nid003574,1,small,1000,1000,1000000,1,4,4,1,2.257e+02,6700,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r1_t4_p4_m1000_n1000_job13997004_rep1.log
2026-06-09T15:39:48+01:00,13997004,nid003574,1,small,1000,1000,1000000,1,8,8,1,2.264e+02,6700,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r1_t8_p8_m1000_n1000_job13997004_rep1.log
2026-06-09T15:41:13+01:00,13997004,nid003574,1,small,1000,1000,1000000,2,1,2,1,8.407e+01,3715,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r2_t1_p2_m1000_n1000_job13997004_rep1.log
2026-06-09T15:42:42+01:00,13997004,nid003574,1,small,1000,1000,1000000,2,2,4,1,8.238e+01,3715,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r2_t2_p4_m1000_n1000_job13997004_rep1.log
2026-06-09T15:43:54+01:00,13997004,nid003574,1,small,1000,1000,1000000,2,4,8,1,7.175e+01,3715,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r2_t4_p8_m1000_n1000_job13997004_rep1.log
2026-06-09T15:45:05+01:00,13997004,nid003574,1,small,1000,1000,1000000,2,8,16,1,7.022e+01,3715,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r2_t8_p16_m1000_n1000_job13997004_rep1.log
2026-06-09T15:45:55+01:00,13997004,nid003574,1,small,1000,1000,1000000,4,1,4,1,4.961e+01,2825,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r4_t1_p4_m1000_n1000_job13997004_rep1.log
2026-06-09T15:46:39+01:00,13997004,nid003574,1,small,1000,1000,1000000,4,2,8,1,4.332e+01,2825,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/small/ex2_arch-omp-opt_small_r4_t2_p8_m1000_n1000_job13997004_rep1.log
