timestamp,jobid,nodelist,nodes,scale,m,n,unknowns,ranks,threads,total_cores,rep,time_sec,iterations,error_norm,logfile
2026-06-09T20:31:27+01:00,13998779,nid001199,1,large,4500,4500,20250000,1,1,1,1,7.537e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/large/ex2_arch-omp-opt_large_r1_t1_p1_m4500_n4500_job13998779_rep1.log
2026-06-09T22:28:26+01:00,13998779,nid001199,1,large,4500,4500,20250000,1,2,2,1,7.018e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/large/ex2_arch-omp-opt_large_r1_t2_p2_m4500_n4500_job13998779_rep1.log
2026-06-10T00:26:49+01:00,13998779,nid001199,1,large,4500,4500,20250000,1,4,4,1,7.102e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/large/ex2_arch-omp-opt_large_r1_t4_p4_m4500_n4500_job13998779_rep1.log
2026-06-10T02:26:03+01:00,13998779,nid001199,1,large,4500,4500,20250000,1,8,8,1,7.154e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/large/ex2_arch-omp-opt_large_r1_t8_p8_m4500_n4500_job13998779_rep1.log
2026-06-10T03:41:20+01:00,13998779,nid001199,1,large,4500,4500,20250000,2,1,2,1,4.516e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/large/ex2_arch-omp-opt_large_r2_t1_p2_m4500_n4500_job13998779_rep1.log
2026-06-10T04:57:33+01:00,13998779,nid001199,1,large,4500,4500,20250000,2,2,4,1,4.570e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/large/ex2_arch-omp-opt_large_r2_t2_p4_m4500_n4500_job13998779_rep1.log
2026-06-10T06:14:38+01:00,13998779,nid001199,1,large,4500,4500,20250000,2,4,8,1,4.625e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/large/ex2_arch-omp-opt_large_r2_t4_p8_m4500_n4500_job13998779_rep1.log
2026-06-10T07:27:55+01:00,13998779,nid001199,1,large,4500,4500,20250000,2,8,16,1,4.396e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/large/ex2_arch-omp-opt_large_r2_t8_p16_m4500_n4500_job13998779_rep1.log
2026-06-10T08:37:46+01:00,13998779,nid001199,1,large,4500,4500,20250000,4,1,4,1,4.191e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/large/ex2_arch-omp-opt_large_r4_t1_p4_m4500_n4500_job13998779_rep1.log
2026-06-10T09:36:59+01:00,13998779,nid001199,1,large,4500,4500,20250000,4,2,8,1,3.550e+03,10000,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/size_grid/large/ex2_arch-omp-opt_large_r4_t2_p8_m4500_n4500_job13998779_rep1.log
