scale,unknowns,m,n,threads,total_cores,median_runtime_seconds,mean_runtime_seconds,min_runtime_seconds,max_runtime_seconds,repeat_count
medium-small,5017600,2240,2240,1,8,1067.0,1067.0,1067.0,1067.0,1
medium-small,5017600,2240,2240,2,8,1053.0,1053.0,1053.0,1053.0,1
medium-small,5017600,2240,2240,4,8,1148.0,1148.0,1148.0,1148.0,1
medium-small,5017600,2240,2240,8,8,1767.0,1767.0,1767.0,1767.0,1
medium-small,5017600,2240,2240,1,16,810.1,810.1,810.1,810.1,1
medium-small,5017600,2240,2240,2,16,817.3,817.3,817.3,817.3,1
medium-small,5017600,2240,2240,4,16,828.8,828.8,828.8,828.8,1
medium-small,5017600,2240,2240,8,16,1084.0,1084.0,1084.0,1084.0,1
medium-small,5017600,2240,2240,1,32,330.3,330.3,330.3,330.3,1
medium-small,5017600,2240,2240,2,32,332.4,332.4,332.4,332.4,1
medium-small,5017600,2240,2240,4,32,365.3,365.3,365.3,365.3,1
medium-small,5017600,2240,2240,8,32,531.9,531.9,531.9,531.9,1
medium-small,5017600,2240,2240,1,64,135.3,135.3,135.3,135.3,1
medium-small,5017600,2240,2240,2,64,135.4,135.4,135.4,135.4,1
medium-small,5017600,2240,2240,4,64,156.3,156.3,156.3,156.3,1
medium-small,5017600,2240,2240,8,64,242.7,242.7,242.7,242.7,1
medium-small,5017600,2240,2240,1,128,64.02,64.02,64.02,64.02,1
medium-small,5017600,2240,2240,2,128,64.76,64.76,64.76,64.76,1
medium-small,5017600,2240,2240,4,128,76.01,76.01,76.01,76.01,1
medium-small,5017600,2240,2240,8,128,118.9,118.9,118.9,118.9,1
medium,9985600,3160,3160,1,1,3709.5,3709.5,3690.0,3729.0,2
medium,9985600,3160,3160,1,2,2237.0,2237.0,2221.0,2253.0,2
medium,9985600,3160,3160,2,2,3462.0,3462.0,3461.0,3463.0,2
medium,9985600,3160,3160,1,4,2064.0,2064.0,2064.0,2064.0,1
medium,9985600,3160,3160,2,4,2243.5,2243.5,2235.0,2252.0,2
medium,9985600,3160,3160,4,4,3477.0,3477.0,3473.0,3481.0,2
medium,9985600,3160,3160,1,8,2145.0,2145.0,2145.0,2145.0,1
medium,9985600,3160,3160,2,8,2068.0,2068.0,2068.0,2068.0,1
medium,9985600,3160,3160,4,8,2275.0,2275.0,2273.0,2277.0,2
medium,9985600,3160,3160,8,8,3466.0,3466.0,3410.0,3522.0,2
medium,9985600,3160,3160,1,16,1838.0,1838.0,1838.0,1838.0,1
medium,9985600,3160,3160,2,16,1797.0,1797.0,1797.0,1797.0,1
medium,9985600,3160,3160,4,16,1763.0,1763.0,1763.0,1763.0,1
medium,9985600,3160,3160,8,16,2155.0,2155.0,2155.0,2155.0,1
medium,9985600,3160,3160,1,32,804.0,804.0,804.0,804.0,1
medium,9985600,3160,3160,2,32,809.7,809.7,809.7,809.7,1
medium,9985600,3160,3160,4,32,824.1,824.1,824.1,824.1,1
medium,9985600,3160,3160,8,32,1090.0,1090.0,1090.0,1090.0,1
medium,9985600,3160,3160,1,64,329.7,329.7,329.7,329.7,1
medium,9985600,3160,3160,2,64,331.9,331.9,331.9,331.9,1
medium,9985600,3160,3160,4,64,366.2,366.2,366.2,366.2,1
medium,9985600,3160,3160,8,64,530.8,530.8,530.8,530.8,1
medium,9985600,3160,3160,1,128,136.5,136.5,136.5,136.5,1
medium,9985600,3160,3160,2,128,136.7,136.7,136.7,136.7,1
medium,9985600,3160,3160,4,128,157.4,157.4,157.4,157.4,1
medium,9985600,3160,3160,8,128,243.1,243.1,243.1,243.1,1
large,20250000,4500,4500,1,1,7546.0,7546.0,7537.0,7555.0,2
large,20250000,4500,4500,1,2,4520.5,4520.5,4516.0,4525.0,2
large,20250000,4500,4500,2,2,7031.0,7031.0,7018.0,7044.0,2
large,20250000,4500,4500,1,4,4191.5,4191.5,4191.0,4192.0,2
large,20250000,4500,4500,2,4,4569.5,4569.5,4569.0,4570.0,2
large,20250000,4500,4500,4,4,7088.0,7088.0,7074.0,7102.0,2
large,20250000,4500,4500,1,8,4289.0,4289.0,4288.0,4290.0,2
large,20250000,4500,4500,2,8,3876.0,3876.0,3550.0,4202.0,2
large,20250000,4500,4500,4,8,4474.5,4474.5,4324.0,4625.0,2
large,20250000,4500,4500,8,8,7149.0,7149.0,7144.0,7154.0,2
large,20250000,4500,4500,1,16,3767.5,3767.5,3767.0,3768.0,2
large,20250000,4500,4500,2,16,3624.0,3624.0,3623.0,3625.0,2
large,20250000,4500,4500,4,16,2313.0,2313.0,2307.0,2319.0,2
large,20250000,4500,4500,8,16,4390.0,4390.0,4384.0,4396.0,2
large,20250000,4500,4500,1,32,1868.5,1868.5,1868.0,1869.0,2
large,20250000,4500,4500,2,32,1826.5,1826.5,1826.0,1827.0,2
large,20250000,4500,4500,4,32,1793.5,1793.5,1793.0,1794.0,2
large,20250000,4500,4500,8,32,2214.5,2214.5,2209.0,2220.0,2
large,20250000,4500,4500,1,64,826.2,826.2,825.7,826.7,2
large,20250000,4500,4500,2,64,830.5,830.5,829.9,831.1,2
large,20250000,4500,4500,4,64,847.05,847.05,846.0,848.1,2
large,20250000,4500,4500,8,64,1116.0,1116.0,1115.0,1117.0,2
large,20250000,4500,4500,1,128,340.45000000000005,340.45000000000005,340.1,340.8,2
large,20250000,4500,4500,2,128,341.85,341.85,341.6,342.1,2
large,20250000,4500,4500,4,128,376.3,376.3,376.0,376.6,2
large,20250000,4500,4500,8,128,547.1,547.1,547.0,547.2,2
very-large,40960000,6400,6400,1,1,15415.0,15415.0,15410.0,15420.0,2
very-large,40960000,6400,6400,1,2,9139.0,9139.0,9131.0,9147.0,2
very-large,40960000,6400,6400,2,2,14170.0,14170.0,14150.0,14190.0,2
very-large,40960000,6400,6400,1,4,8464.0,8464.0,8464.0,8464.0,1
very-large,40960000,6400,6400,2,4,9245.5,9245.5,9219.0,9272.0,2
very-large,40960000,6400,6400,4,4,14265.0,14265.0,14250.0,14280.0,2
very-large,40960000,6400,6400,1,8,8702.0,8702.0,8702.0,8702.0,1
very-large,40960000,6400,6400,2,8,8503.0,8503.0,8503.0,8503.0,1
very-large,40960000,6400,6400,4,8,9360.0,9360.0,9344.0,9376.0,2
very-large,40960000,6400,6400,8,8,14125.0,14125.0,13840.0,14410.0,2
very-large,40960000,6400,6400,1,16,7558.0,7558.0,7558.0,7558.0,1
very-large,40960000,6400,6400,2,16,7375.0,7375.0,7375.0,7375.0,1
very-large,40960000,6400,6400,4,16,7311.0,7311.0,7311.0,7311.0,1
very-large,40960000,6400,6400,8,16,8845.0,8845.0,8845.0,8845.0,1
very-large,40960000,6400,6400,1,32,3825.0,3825.0,3825.0,3825.0,1
very-large,40960000,6400,6400,2,32,3685.0,3685.0,3685.0,3685.0,1
very-large,40960000,6400,6400,4,32,3651.0,3651.0,3651.0,3651.0,1
very-large,40960000,6400,6400,8,32,4484.0,4484.0,4484.0,4484.0,1
very-large,40960000,6400,6400,1,64,1905.0,1905.0,1905.0,1905.0,1
very-large,40960000,6400,6400,2,64,1859.0,1859.0,1859.0,1859.0,1
very-large,40960000,6400,6400,4,64,1826.0,1826.0,1826.0,1826.0,1
very-large,40960000,6400,6400,8,64,2271.0,2271.0,2271.0,2271.0,1
very-large,40960000,6400,6400,1,128,846.9,846.9,846.9,846.9,1
very-large,40960000,6400,6400,2,128,850.8,850.8,850.8,850.8,1
very-large,40960000,6400,6400,4,128,866.4,866.4,866.4,866.4,1
very-large,40960000,6400,6400,8,128,1140.0,1140.0,1140.0,1140.0,1
