scale,m,n,unknowns,nodes,ppn,threads,mpi_ranks,total_cores,unknowns_per_core,matrix_type,runtime_seconds,memory_mb,status,source_file
very-large,6400,6400,40960000,1,32,1,32,32,1.28e+06,,3825,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,16,2,16,32,1.28e+06,,3685,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,8,4,8,32,1.28e+06,,3651,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,4,8,4,32,1.28e+06,,4484,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,64,1,64,64,640000,,1905,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,32,2,32,64,640000,,1859,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,16,4,16,64,640000,,1826,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,8,8,8,64,640000,,2271,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,128,1,128,128,320000,,846.9,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,64,2,64,128,320000,,850.8,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,32,4,32,128,320000,,866.4,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
very-large,6400,6400,40960000,1,16,8,16,128,320000,,1140,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009694.csv
