scale,m,n,unknowns,nodes,ppn,threads,mpi_ranks,total_cores,unknowns_per_core,matrix_type,runtime_seconds,memory_mb,status,source_file
small,1000,1000,1000000,1,8,8,8,64,15625,,16.15,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,8,8,8,64,15625,,16.55,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,4,16,4,64,15625,,20.76,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,2,32,2,64,15625,,54.11,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,1,64,1,64,15625,,195.6,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,128,1,128,128,7812.5,,3.844,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,128,1,128,128,7812.5,,3.866,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,64,2,64,128,7812.5,,4.369,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,64,2,64,128,7812.5,,4.375,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,32,4,32,128,7812.5,,6.394,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,32,4,32,128,7812.5,,6.402,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,16,8,16,128,7812.5,,15.44,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,16,8,16,128,7812.5,,15.48,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,8,16,8,128,7812.5,,14.99,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,4,32,4,128,7812.5,,20.45,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,2,64,2,128,7812.5,,53.57,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,1,128,1,128,7812.5,,208.4,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
medium-small,2240,2240,5017600,1,1,1,1,1,5.0176e+06,,1874,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,2,1,2,2,2.5088e+06,,1136,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,1,2,1,2,2.5088e+06,,1742,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,4,1,4,4,1.2544e+06,,1052,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,2,2,2,4,1.2544e+06,,1135,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,1,4,1,4,1.2544e+06,,1747,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,8,1,8,8,627200,,1067,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,4,2,4,8,627200,,1053,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,2,4,2,8,627200,,1148,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,1,8,1,8,627200,,1767,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,16,1,16,16,313600,,810.1,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,8,2,8,16,313600,,817.3,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,4,4,4,16,313600,,828.8,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,2,8,2,16,313600,,1084,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,32,1,32,32,156800,,330.3,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,16,2,16,32,156800,,332.4,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,8,4,8,32,156800,,365.3,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,4,8,4,32,156800,,531.9,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,64,1,64,64,78400,,135.3,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,32,2,32,64,78400,,135.4,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,16,4,16,64,78400,,156.3,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,8,8,8,64,78400,,242.7,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,128,1,128,128,39200,,64.02,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,64,2,64,128,39200,,64.76,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,32,4,32,128,39200,,76.01,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium-small,2240,2240,5017600,1,16,8,16,128,39200,,118.9,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997039.csv
medium,3160,3160,9985600,1,1,1,1,1,9.9856e+06,,3690,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997044.csv
medium,3160,3160,9985600,1,1,1,1,1,9.9856e+06,,3729,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,2,1,2,2,4.9928e+06,,2221,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,2,1,2,2,4.9928e+06,,2253,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997044.csv
medium,3160,3160,9985600,1,1,2,1,2,4.9928e+06,,3461,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
